#decoy score
complex.213.pdb 1334.4498
complex.214.pdb 1334.0326
complex.215.pdb 1333.4556
complex.216.pdb 1332.1233
complex.217.pdb 1331.3059
complex.218.pdb 1330.7159
complex.219.pdb 1330.5685
complex.220.pdb 1328.8804
complex.221.pdb 1327.4337
complex.222.pdb 1327.4088
complex.223.pdb 1326.7395
complex.224.pdb 1326.6710
complex.225.pdb 1325.9384
complex.226.pdb 1325.8656
complex.227.pdb 1324.9662
complex.228.pdb 1324.6681
complex.229.pdb 1323.8339
complex.230.pdb 1323.2959
complex.231.pdb 1322.7346
complex.232.pdb 1322.5703
complex.233.pdb 1321.2958
complex.234.pdb 1320.2672
complex.235.pdb 1320.1799
complex.236.pdb 1319.7833
complex.237.pdb 1319.6493
complex.238.pdb 1319.2023
complex.239.pdb 1318.8717
complex.240.pdb 1318.5482
complex.241.pdb 1318.3241
complex.242.pdb 1317.9606
complex.243.pdb 1317.4955
complex.244.pdb 1317.4325
complex.245.pdb 1317.0037
complex.246.pdb 1316.0092
complex.247.pdb 1315.4014
complex.248.pdb 1315.3594
complex.249.pdb 1315.3219
complex.250.pdb 1315.2346
complex.251.pdb 1314.4149
complex.252.pdb 1313.7668
complex.253.pdb 1313.5286
complex.254.pdb 1313.3842
complex.255.pdb 1313.3661
complex.256.pdb 1312.7444
complex.257.pdb 1312.3309
complex.258.pdb 1311.8342
complex.259.pdb 1311.6892
complex.260.pdb 1311.6378
complex.261.pdb 1310.1398
complex.262.pdb 1310.1019
complex.263.pdb 1310.0293
complex.264.pdb 1309.6047
complex.265.pdb 1308.5647
complex.266.pdb 1307.9968
complex.267.pdb 1307.8252
complex.268.pdb 1307.2826
complex.269.pdb 1306.9438
complex.270.pdb 1306.8202
complex.271.pdb 1306.6461
complex.272.pdb 1306.4065
complex.273.pdb 1306.3894
complex.274.pdb 1305.8263
complex.275.pdb 1305.2274
complex.276.pdb 1304.9877
complex.277.pdb 1304.7604
complex.278.pdb 1304.4849
complex.279.pdb 1304.2760
complex.280.pdb 1303.5442
complex.281.pdb 1303.3484
complex.282.pdb 1303.2240
complex.283.pdb 1302.4574
complex.284.pdb 1302.1827
complex.285.pdb 1301.7281
complex.286.pdb 1301.2544
complex.287.pdb 1301.0957
complex.288.pdb 1300.5510
complex.289.pdb 1299.9891
complex.290.pdb 1299.9586
complex.291.pdb 1299.2400
complex.292.pdb 1298.5227
complex.293.pdb 1298.4218
complex.294.pdb 1298.1077
complex.295.pdb 1297.5824
complex.296.pdb 1297.0035
complex.297.pdb 1296.5267
complex.298.pdb 1296.4928
complex.299.pdb 1295.6194
complex.300.pdb 1295.5897
complex.301.pdb 1295.0933
complex.302.pdb 1294.2522
complex.303.pdb 1293.8026
complex.304.pdb 1293.4076
complex.305.pdb 1292.7578
complex.306.pdb 1292.3638
complex.307.pdb 1292.3066
complex.308.pdb 1292.2991
complex.309.pdb 1291.7212
complex.310.pdb 1291.5400
complex.311.pdb 1291.0024
complex.312.pdb 1290.9587
complex.313.pdb 1290.7765
complex.314.pdb 1290.6156
complex.315.pdb 1289.6748
complex.316.pdb 1289.6661
complex.317.pdb 1288.8390
complex.318.pdb 1288.6993
complex.319.pdb 1288.5164
complex.320.pdb 1288.4702
complex.321.pdb 1288.3796
complex.322.pdb 1288.2427
complex.323.pdb 1288.2219
complex.324.pdb 1287.6443
complex.325.pdb 1287.3182
complex.326.pdb 1286.2183
complex.327.pdb 1286.1406
complex.328.pdb 1286.0958
complex.329.pdb 1285.6405
complex.330.pdb 1285.3727
complex.331.pdb 1285.2004
complex.332.pdb 1285.1891
complex.333.pdb 1284.8313
complex.334.pdb 1284.4871
complex.335.pdb 1283.7659
complex.336.pdb 1283.2719
complex.337.pdb 1283.1401
complex.338.pdb 1282.9614
complex.339.pdb 1282.8925
complex.340.pdb 1282.6854
complex.341.pdb 1281.9082
complex.342.pdb 1281.8123
complex.343.pdb 1281.5602
complex.344.pdb 1281.5427
complex.345.pdb 1281.3942
complex.346.pdb 1281.3105
complex.347.pdb 1280.9564
complex.348.pdb 1280.9207
complex.349.pdb 1280.5541
complex.350.pdb 1280.1036
complex.351.pdb 1279.6929
complex.352.pdb 1279.6770
complex.353.pdb 1279.3730
complex.354.pdb 1279.0309
complex.355.pdb 1278.4506
complex.356.pdb 1277.8083
complex.357.pdb 1277.7391
complex.358.pdb 1277.4333
complex.359.pdb 1277.0829
complex.360.pdb 1276.8932
complex.361.pdb 1276.5243
complex.362.pdb 1276.1124
complex.363.pdb 1275.5459
complex.364.pdb 1275.3871
complex.365.pdb 1275.3130
complex.366.pdb 1275.0292
complex.367.pdb 1274.8783
complex.368.pdb 1274.5834
complex.369.pdb 1274.5095
complex.370.pdb 1274.0951
complex.371.pdb 1273.9711
complex.372.pdb 1273.9048
complex.373.pdb 1273.8871
complex.374.pdb 1273.7325
complex.375.pdb 1273.6091
complex.376.pdb 1273.5641
complex.377.pdb 1273.3857
complex.378.pdb 1273.1925
complex.379.pdb 1272.4601
complex.380.pdb 1272.4052
complex.381.pdb 1272.0610
complex.382.pdb 1271.9218
complex.383.pdb 1271.7235
complex.384.pdb 1271.5525
complex.385.pdb 1271.1493
complex.386.pdb 1270.8988
complex.387.pdb 1270.5317
complex.388.pdb 1269.8441
complex.389.pdb 1269.1970
complex.390.pdb 1269.1886
complex.391.pdb 1269.0486
complex.392.pdb 1268.9396
complex.393.pdb 1268.7859
complex.394.pdb 1268.6405
complex.395.pdb 1268.5696
complex.396.pdb 1268.2118
complex.397.pdb 1268.0620
complex.398.pdb 1267.9069
complex.399.pdb 1267.4976
complex.400.pdb 1267.4696
complex.401.pdb 1267.4615
complex.402.pdb 1267.1860
complex.403.pdb 1267.0559
complex.404.pdb 1266.9144
complex.405.pdb 1266.5040
complex.406.pdb 1266.1174
complex.407.pdb 1266.1013
complex.408.pdb 1266.0238
complex.409.pdb 1265.6371
complex.410.pdb 1265.2332
complex.411.pdb 1265.1666
complex.412.pdb 1264.7739
complex.413.pdb 1264.6932
complex.414.pdb 1264.5463
complex.415.pdb 1264.4417
complex.416.pdb 1264.1582
complex.417.pdb 1263.8788
complex.418.pdb 1263.4977
complex.419.pdb 1263.3289
complex.420.pdb 1263.1768
complex.421.pdb 1263.1483
complex.422.pdb 1262.8890
complex.423.pdb 1262.7452
complex.424.pdb 1262.5289
complex.425.pdb 1262.4677
complex.426.pdb 1262.3145
complex.427.pdb 1262.1534
complex.428.pdb 1261.8595
complex.429.pdb 1261.8290
complex.430.pdb 1261.6565
complex.431.pdb 1261.5909
complex.432.pdb 1261.3184
complex.433.pdb 1261.3044
complex.434.pdb 1260.9504
complex.435.pdb 1260.8982
complex.436.pdb 1260.8860
complex.437.pdb 1260.4633
complex.438.pdb 1260.4264
complex.439.pdb 1260.2657
complex.440.pdb 1260.0355
complex.441.pdb 1259.9150
complex.442.pdb 1259.8463
complex.443.pdb 1259.8300
complex.444.pdb 1259.8104
complex.445.pdb 1259.5752
complex.446.pdb 1259.4664
complex.447.pdb 1258.8374
complex.448.pdb 1258.7948
complex.449.pdb 1258.7830
complex.450.pdb 1258.7791
complex.451.pdb 1258.5725
complex.452.pdb 1258.3264
complex.453.pdb 1258.2866
complex.454.pdb 1258.0299
complex.455.pdb 1257.9857
complex.456.pdb 1257.8781
complex.457.pdb 1257.7842
complex.458.pdb 1257.7150
complex.459.pdb 1257.7145
complex.460.pdb 1257.6694
complex.461.pdb 1257.2865
complex.462.pdb 1257.0742
complex.463.pdb 1256.8374
complex.464.pdb 1256.6001
complex.465.pdb 1256.5602
complex.466.pdb 1256.5205
complex.467.pdb 1256.4722
complex.468.pdb 1256.4148
complex.469.pdb 1256.3838
complex.470.pdb 1256.3009
complex.471.pdb 1255.8064
complex.472.pdb 1255.6798
complex.473.pdb 1255.6449
complex.474.pdb 1255.3842
complex.475.pdb 1255.1835
complex.476.pdb 1255.1235
complex.477.pdb 1255.0908
complex.478.pdb 1254.9851
complex.479.pdb 1254.9460
complex.480.pdb 1254.6608
complex.481.pdb 1253.9039
complex.482.pdb 1253.5223
complex.483.pdb 1253.5121
complex.484.pdb 1253.3801
complex.485.pdb 1253.2065
complex.486.pdb 1253.0496
complex.487.pdb 1253.0477
complex.488.pdb 1252.9706
complex.489.pdb 1252.8199
complex.490.pdb 1252.8110
complex.491.pdb 1252.5298
complex.492.pdb 1252.3967
complex.493.pdb 1252.3485
complex.494.pdb 1252.2313
complex.495.pdb 1251.7843
complex.496.pdb 1251.7014
complex.497.pdb 1251.6033
complex.498.pdb 1251.4465
complex.499.pdb 1251.2306
complex.500.pdb 1250.6849
complex.501.pdb 1250.5667
complex.502.pdb 1250.4635
complex.503.pdb 1250.4032
complex.504.pdb 1250.4010
complex.505.pdb 1250.3707
complex.506.pdb 1250.3497
complex.507.pdb 1250.2390
complex.508.pdb 1250.2069
complex.509.pdb 1250.0154
complex.510.pdb 1249.8462
complex.511.pdb 1249.8328
complex.512.pdb 1249.8258
complex.513.pdb 1249.1333
