#decoys scores
complex.229.pdb 2.3882
complex.230.pdb 1.7140
complex.231.pdb -3.7625
complex.232.pdb -1.9973
complex.233.pdb -2.2685
complex.234.pdb -3.3688
complex.235.pdb 1.2790
complex.236.pdb -1.0112
complex.237.pdb 0.7274
complex.238.pdb 5.2856
complex.239.pdb 4.1927
complex.240.pdb 5.8419
complex.241.pdb 5.2875
complex.242.pdb 4.2046
complex.243.pdb 6.0743
complex.244.pdb 2.6099
complex.245.pdb 4.4609
complex.246.pdb -4.0920
complex.247.pdb -0.9172
complex.248.pdb 6.3294
complex.249.pdb 3.9759
complex.250.pdb -3.6368
complex.251.pdb 3.7026
complex.252.pdb 3.9179
complex.253.pdb -2.0616
complex.254.pdb 0.4736
complex.255.pdb 6.7826
complex.256.pdb 4.9602
complex.257.pdb 6.8362
complex.258.pdb -4.3059
complex.259.pdb -1.4316
complex.260.pdb 4.7511
complex.261.pdb -2.1445
complex.262.pdb 2.8642
complex.263.pdb -5.3992
complex.264.pdb 2.8244
complex.265.pdb -2.2857
complex.266.pdb -1.1141
complex.267.pdb -0.6630
complex.268.pdb 6.4359
complex.269.pdb 0.4451
complex.270.pdb 7.8152
complex.271.pdb 2.0255
complex.272.pdb 2.3109
complex.273.pdb 6.1879
complex.274.pdb -1.3612
complex.275.pdb -5.4759
complex.276.pdb -5.7474
complex.277.pdb -1.4088
complex.278.pdb 2.2048
complex.279.pdb -4.7749
complex.280.pdb 1.7386
complex.281.pdb -2.4349
complex.282.pdb -3.0530
complex.283.pdb 6.6010
complex.284.pdb -2.6539
complex.285.pdb -2.6556
complex.286.pdb 0.4320
complex.287.pdb 2.3367
complex.288.pdb -3.8314
complex.289.pdb -0.9529
complex.290.pdb -0.4239
complex.291.pdb 6.5079
complex.292.pdb -2.7034
complex.293.pdb 4.2277
complex.294.pdb -2.2706
complex.295.pdb -2.7242
complex.296.pdb 5.4874
complex.297.pdb -1.3316
complex.298.pdb -1.9700
complex.299.pdb -5.1318
complex.300.pdb 5.6593
complex.301.pdb -2.0849
complex.302.pdb -0.0228
complex.303.pdb -0.9109
complex.304.pdb -2.1018
complex.305.pdb 1.8663
complex.306.pdb -4.3590
complex.307.pdb 7.2021
complex.308.pdb -0.8011
complex.309.pdb -2.9170
complex.310.pdb 3.2936
complex.311.pdb 8.0951
complex.312.pdb -0.3247
complex.313.pdb 0.4455
complex.314.pdb 4.9727
complex.315.pdb -2.6913
complex.316.pdb -3.9487
complex.317.pdb -4.8935
complex.318.pdb -3.9069
complex.319.pdb 4.4870
complex.320.pdb -3.4145
complex.321.pdb 5.2128
complex.322.pdb 0.4193
complex.323.pdb 1.0092
complex.324.pdb -2.3417
complex.325.pdb 6.7088
complex.326.pdb -0.7990
complex.327.pdb 0.9280
complex.328.pdb -3.9794
complex.329.pdb -2.3044
complex.330.pdb -4.0392
complex.331.pdb -1.9690
complex.332.pdb -2.8222
complex.333.pdb -3.8492
complex.334.pdb 1.0750
complex.335.pdb 1.6096
complex.336.pdb 1.3703
complex.337.pdb -4.4419
complex.338.pdb 2.9044
complex.339.pdb -0.6012
complex.340.pdb -2.6532
complex.341.pdb -1.5668
complex.342.pdb -6.1519
complex.343.pdb -1.2933
complex.344.pdb 3.1669
complex.345.pdb -3.9345
complex.346.pdb 5.9678
complex.347.pdb -0.5485
